City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,16.56,52,75,3.6,CA,1691648788
1,ushuaia,-54.8,-68.3,4.81,81,0,2.57,AR,1691649034
2,adamstown,-25.066,-130.1015,19.78,54,92,8.89,PN,1691649034
3,yellowknife,62.456,-114.3525,18.29,55,100,3.6,CA,1691649034
4,grytviken,-54.2811,-36.5092,-5.35,88,91,1.08,GS,1691649034
5,olonkinbyen,70.9221,-8.7187,6.61,99,100,5.34,SJ,1691649034
6,kingsbridge,50.2845,-3.7764,18.87,94,76,4.08,GB,1691649006
7,kafir qala,34.6667,61.0667,33.21,18,0,13.18,AF,1691649035
8,san juan,-31.5375,-68.5364,14.75,33,74,4.28,AR,1691648825
9,kodiak,57.79,-152.4072,11.73,94,100,0.0,US,1691649035
10,blackmans bay,-43.0167,147.3167,14.07,63,28,3.91,AU,1691649035
11,opuwo,-18.0607,13.84,20.58,27,5,1.03,NA,1691649036
12,anadyr,64.75,177.4833,14.28,67,40,4.0,RU,1691649036
13,reyes,-14.3167,-67.3833,22.22,70,0,0.94,BO,1691649036
14,coronel dorrego,-38.7187,-61.2873,11.14,64,100,5.48,AR,1691649037
15,la passe,45.5549,-0.8967,19.43,60,100,0.86,FR,1691649037
16,mae hong son,19.3003,97.9685,31.08,62,75,1.03,TH,1691649037
17,tazacorte,28.629,-17.9293,23.54,78,0,7.2,ES,1691649037
18,nuuk,64.1835,-51.7216,4.34,100,75,4.02,GL,1691649037
19,papatowai,-46.5619,169.4708,1.55,89,49,2.33,NZ,1691649038
20,merizo village,13.2658,144.6691,29.43,91,100,9.6,GU,1691648986
21,kayes,14.0,-11.0,25.05,84,100,5.03,ML,1691649038
22,stanley,54.868,-1.6985,17.06,92,75,1.03,GB,1691649038
23,iqaluit,63.7506,-68.5145,4.85,93,100,2.24,CA,1691648971
24,waitangi,-43.9535,-176.5597,8.79,70,2,4.9,NZ,1691649039
25,puerto natales,-51.7236,-72.4875,0.76,97,89,1.45,CL,1691648752
26,ilulissat,69.2167,-51.1,4.01,93,100,3.09,GL,1691649039
27,isafjordur,66.0755,-23.124,6.65,80,50,3.41,IS,1691649039
28,avarua,-21.2078,-159.775,24.03,73,75,8.75,CK,1691649040
29,port-aux-francais,-49.35,70.2167,4.3,86,92,11.49,TF,1691648762
30,metlili chaamba,32.2667,3.6333,30.52,22,0,5.66,DZ,1691649040
31,coquimbo,-29.9533,-71.3436,12.85,100,40,2.06,CL,1691649040
32,rusape,-18.5278,32.1284,9.93,87,100,2.65,ZW,1691649040
33,trondheim,63.4305,10.3951,15.03,75,11,0.93,NO,1691649004
34,bethel,41.3712,-73.414,20.92,84,0,2.06,US,1691649041
35,paoua,7.2427,16.4406,22.09,89,100,0.37,CF,1691649041
36,saint-pierre,-21.3393,55.4781,23.65,78,100,5.14,RE,1691649041
37,ribeira grande,38.5167,-28.7,20.43,88,20,2.24,PT,1691649041
38,tchintabaraden,15.8969,5.7985,27.72,63,33,4.9,NE,1691649042
39,kalmunai,7.4167,81.8167,33.27,50,100,5.84,LK,1691649042
40,dunedin,-45.8742,170.5036,5.45,62,69,2.24,NZ,1691648747
41,nagqu,31.5,92.0,17.97,39,86,1.4,CN,1691649042
42,tiksi,71.6872,128.8694,23.02,32,13,2.56,RU,1691649042
43,rochelle,46.25,-1.0,20.05,88,0,3.09,FR,1691649043
44,novodvinsk,64.4165,40.8122,24.21,58,0,3.34,RU,1691649043
45,luanda,-8.8368,13.2343,19.0,88,40,0.0,AO,1691648983
46,badger,64.8,-147.5333,18.62,83,75,2.06,US,1691649043
47,tobol'sk,58.2,68.2667,18.87,43,0,6.27,RU,1691649044
48,cabo san lucas,22.8909,-109.9124,28.67,78,12,4.98,MX,1691649004
49,touros,-5.1989,-35.4608,22.05,90,30,5.64,BR,1691648819
50,chonchi,-42.6128,-73.8092,9.51,93,99,3.62,CL,1691648848
51,bandarbeyla,9.4942,50.8122,28.77,54,82,12.47,SO,1691648847
52,mejit,10.2753,170.8646,28.02,72,18,5.92,MH,1691649045
53,port elizabeth,-33.918,25.5701,14.16,94,0,5.14,ZA,1691649040
54,port mathurin,-19.6833,63.4167,22.63,73,4,4.58,MU,1691649045
55,tottori,35.5,134.2333,34.04,46,40,8.75,JP,1691649006
56,susuman,62.7833,148.1667,17.42,41,6,0.71,RU,1691649045
57,albany,42.6001,-73.9662,18.23,89,47,0.45,US,1691648896
58,itupiranga,-5.1347,-49.3267,26.18,90,11,2.01,BR,1691649046
59,invercargill,-46.4,168.35,5.57,75,31,0.96,NZ,1691648748
60,andovoranto,-18.95,49.1,20.91,86,99,1.28,MG,1691649046
61,urzhar,47.093,81.6294,31.91,26,2,2.58,KZ,1691649046
62,margaret river,-33.95,115.0667,13.47,68,100,1.89,AU,1691648748
63,laghouat,33.8,2.8651,30.84,22,0,3.86,DZ,1691649047
64,haiku-pauwela,20.9219,-156.3051,25.01,75,40,5.36,US,1691649047
65,itigi,-5.7,34.4833,22.04,46,0,5.36,TZ,1691649047
66,bilibino,68.0546,166.4372,14.58,49,100,2.21,RU,1691649047
67,yeppoon,-23.1333,150.7333,22.88,66,6,3.71,AU,1691649047
68,lihue,21.9789,-159.3672,26.77,74,75,8.75,US,1691648876
69,talnakh,69.4865,88.3972,19.56,38,48,9.17,RU,1691649048
70,krutaya gorka,55.3649,73.2231,19.82,84,100,3.52,RU,1691649048
71,woolgoolga,-30.1106,153.2007,19.93,60,4,7.69,AU,1691649048
72,andergrove,-21.0833,149.1833,23.69,69,0,4.63,AU,1691649049
73,nova sintra,14.8667,-24.7167,22.5,74,37,7.1,CV,1691649049
74,alofi,-19.0595,-169.9187,23.94,94,36,1.03,NU,1691649049
75,tura,25.5198,90.2201,29.2,77,94,3.13,IN,1691648806
76,hadibu,12.65,54.0333,27.63,67,80,11.08,YE,1691649049
77,kavaratti,10.5669,72.642,28.05,76,89,7.84,IN,1691649050
78,twentynine palms,34.1356,-116.0542,31.08,37,5,2.91,US,1691649050
79,new plymouth,-39.0667,174.0833,6.56,76,100,5.79,NZ,1691649050
80,puerto ayora,-0.7393,-90.3518,24.19,94,94,1.34,EC,1691649050
81,vryburg,-26.9566,24.7284,12.98,47,0,6.98,ZA,1691649051
82,bonthe,7.5264,-12.505,23.98,96,100,4.75,SL,1691649051
83,lompoc,34.6391,-120.4579,17.66,87,100,1.54,US,1691649051
84,hamilton,39.1834,-84.5333,20.98,94,100,4.12,US,1691649031
85,ust-nera,64.5667,143.2,23.07,35,33,1.36,RU,1691649052
86,alice springs,-23.7,133.8833,25.75,15,0,5.14,AU,1691649052
87,santa ana de yacuma,-13.75,-65.4333,25.86,50,0,0.42,BO,1691649052
88,martapura,-3.4167,114.85,34.05,36,20,1.03,ID,1691649052
89,edinburgh of the seven seas,-37.0676,-12.3116,10.56,58,44,8.68,SH,1691649053
90,hurricane,37.1753,-113.2899,27.96,47,96,0.45,US,1691649053
91,saipan,15.1355,145.701,27.39,100,40,7.2,MP,1691649053
92,yarmouth,41.7057,-70.2286,22.86,73,0,4.47,US,1691649053
93,bredasdorp,-34.5322,20.0403,10.71,79,0,2.3,ZA,1691648765
94,bich'vinta,43.1592,40.3378,29.1,76,47,2.87,GE,1691649054
95,college,64.8569,-147.8028,18.66,82,75,2.06,US,1691649054
96,san luis de la loma,17.2706,-100.8939,25.7,97,100,1.71,MX,1691649054
